run_name,script_name,model_architecture,heldout_fp,split_type,dataset_version,input_bands,target_mask,loss_function,optimizer,learning_rate,weight_decay,batch_size,base_channels,epochs,seed,augmentation,checkpoint_selection,test_dice_default05,test_iou_default05,test_precision_default05,test_recall_default05,metric_source_default05,selected_threshold,val_dice_at_selected_threshold,val_iou_at_selected_threshold,test_dice_sweep,test_iou_sweep,test_precision_sweep,test_recall_sweep,metric_source_sweep,notes
experiment_fp1_weighted_bce_valdice_20epochs,train_unet_weighted_experiment.py,plain_unet,fp1,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,"3-band SAR (HH, HV, VV or first 3 bands)",flood_change_mask,weighted_bce (BCEWithLogitsLoss with pos_weight = neg_px / pos_px from training masks),Adam,1e-3,0 (default Adam),8,32,20,42,not_in_name (augmentation flag not in run name; default=False assumed),val_dice,0.39974,0.27006,n/a,n/a,training_script_batch_average (threshold=0.5),0.65,0.697903,0.535984,0.491366,0.325702,0.387288,0.671938,threshold_sweep_global_pixel (val-selected threshold),fp1 only; swept via threshold_sweep_single_checkpoint.py; test row saved in results/experiment_fp1_weighted_bce_valdice_20epochs_metrics.csv (augmentation flag not in run name; default=False assumed)
attention_unet_fp1_bce_valdice_20epochs,train_unet_arch_experiment.py,attention_unet,fp1,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,bce (BCEWithLogitsLoss),Adam,1e-3,0,8,32,20,42,not_in_name,val_dice,0.43603,0.305135,,,training_script_batch_average (threshold=0.5),0.45,0.693474,,0.469555,0.306809,0.357003,0.685749,threshold_sweep_global_pixel,Architecture extension — separate from plain U-Net tuning table
attention_unet_fp2_bce_valdice_20epochs,train_unet_arch_experiment.py,attention_unet,fp2,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,bce (BCEWithLogitsLoss),Adam,1e-3,0,8,32,20,42,not_in_name,val_dice,0.650922,0.519213,,,training_script_batch_average (threshold=0.5),0.45,0.655954,,0.7397,0.586924,0.728886,0.75084,threshold_sweep_global_pixel,Architecture extension — separate from plain U-Net tuning table
attention_unet_fp3_bce_valdice_20epochs,train_unet_arch_experiment.py,attention_unet,fp3,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,bce (BCEWithLogitsLoss),Adam,1e-3,0,8,32,20,42,not_in_name,val_dice,0.527662,0.391666,,,training_script_batch_average (threshold=0.5),0.35,0.668138,,0.624096,0.45359,0.776784,0.521574,threshold_sweep_global_pixel,Architecture extension — separate from plain U-Net tuning table
attention_unet_fp4_bce_valdice_20epochs,train_unet_arch_experiment.py,attention_unet,fp4,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,bce (BCEWithLogitsLoss),Adam,1e-3,0,8,32,20,42,not_in_name,val_dice,0.42289,0.302955,,,training_script_batch_average (threshold=0.5),0.5,0.694475,,0.495334,0.329199,0.513691,0.478244,threshold_sweep_global_pixel,Architecture extension — separate from plain U-Net tuning table
attention_unet_fp5_bce_valdice_20epochs,train_unet_arch_experiment.py,attention_unet,fp5,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,bce (BCEWithLogitsLoss),Adam,1e-3,0,8,32,20,42,not_in_name,val_dice,0.570279,0.430927,,,training_script_batch_average (threshold=0.5),0.5,0.6443,,0.624431,0.453944,0.521971,0.77694,threshold_sweep_global_pixel,Architecture extension — separate from plain U-Net tuning table
attention_unet_fp6_bce_valdice_20epochs,train_unet_arch_experiment.py,attention_unet,fp6,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,bce (BCEWithLogitsLoss),Adam,1e-3,0,8,32,20,42,not_in_name,val_dice,0.527923,0.390995,,,training_script_batch_average (threshold=0.5),0.5,0.690755,,0.624455,0.453969,0.718076,0.55243,threshold_sweep_global_pixel,Architecture extension — separate from plain U-Net tuning table
attention_unet_fp7_bce_valdice_20epochs,train_unet_arch_experiment.py,attention_unet,fp7,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,bce (BCEWithLogitsLoss),Adam,1e-3,0,8,32,20,42,not_in_name,val_dice,0.367282,0.261251,,,training_script_batch_average (threshold=0.5),0.4,0.684579,,0.549,0.378359,0.489594,0.624813,threshold_sweep_global_pixel,Architecture extension — separate from plain U-Net tuning table
unetpp_fp1_bce_valdice_20epochs,train_unet_arch_experiment.py,unet_plus_plus,fp1,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,bce (BCEWithLogitsLoss),Adam,1e-3,0,8,32,20,42,not_in_name,val_dice,0.428925,0.297172,,,training_script_batch_average (threshold=0.5),0.35,0.671351,,0.476051,0.31238,0.386535,0.619523,threshold_sweep_global_pixel,Architecture extension — separate from plain U-Net tuning table
unetpp_fp2_bce_valdice_20epochs,train_unet_arch_experiment.py,unet_plus_plus,fp2,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,bce (BCEWithLogitsLoss),Adam,1e-3,0,8,32,20,42,not_in_name,val_dice,0.640546,0.508798,,,training_script_batch_average (threshold=0.5),0.4,0.655369,,0.749208,0.598986,0.75272,0.745728,threshold_sweep_global_pixel,Architecture extension — separate from plain U-Net tuning table
unetpp_fp3_bce_valdice_20epochs,train_unet_arch_experiment.py,unet_plus_plus,fp3,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,bce (BCEWithLogitsLoss),Adam,1e-3,0,8,32,20,42,not_in_name,val_dice,0.549452,0.406437,,,training_script_batch_average (threshold=0.5),0.45,0.662995,,0.608203,0.436991,0.796353,0.491968,threshold_sweep_global_pixel,Architecture extension — separate from plain U-Net tuning table
unetpp_fp4_bce_valdice_20epochs,train_unet_arch_experiment.py,unet_plus_plus,fp4,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,bce (BCEWithLogitsLoss),Adam,1e-3,0,8,32,20,42,not_in_name,val_dice,0.383923,0.259434,,,training_script_batch_average (threshold=0.5),0.55,0.654067,,0.461484,0.299954,0.418768,0.513905,threshold_sweep_global_pixel,Architecture extension — separate from plain U-Net tuning table
unetpp_fp5_bce_valdice_20epochs,train_unet_arch_experiment.py,unet_plus_plus,fp5,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,bce (BCEWithLogitsLoss),Adam,1e-3,0,8,32,20,42,not_in_name,val_dice,0.567915,0.429484,,,training_script_batch_average (threshold=0.5),0.35,0.653457,,0.617366,0.446514,0.497707,0.812773,threshold_sweep_global_pixel,Architecture extension — separate from plain U-Net tuning table
unetpp_fp6_bce_valdice_20epochs,train_unet_arch_experiment.py,unet_plus_plus,fp6,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,bce (BCEWithLogitsLoss),Adam,1e-3,0,8,32,20,42,not_in_name,val_dice,0.497307,0.364781,,,training_script_batch_average (threshold=0.5),0.4,0.709431,,0.633303,0.463382,0.755458,0.545154,threshold_sweep_global_pixel,Architecture extension — separate from plain U-Net tuning table
unetpp_fp7_bce_valdice_20epochs,train_unet_arch_experiment.py,unet_plus_plus,fp7,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,bce (BCEWithLogitsLoss),Adam,1e-3,0,8,32,20,42,not_in_name,val_dice,0.378729,0.2712,,,training_script_batch_average (threshold=0.5),0.4,0.687071,,0.560446,0.389319,0.524542,0.601626,threshold_sweep_global_pixel,Architecture extension — separate from plain U-Net tuning table
